StockCode,Description,total_units_sold,total_revenue,avg_price
23166,"MEDIUM CERAMIC TOP STORAGE JAR",152131,158600.33,1.22
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.60,2.08
84077,"WORLD WAR 2 GLIDERS ASSTD DESIGNS",60994,15108.24,0.29
85099B,"JUMBO BAG RED RETROSPOT",50821,93302.78,2.01
85123A,"WHITE HANGING HEART T-LIGHT HOLDER",45684,124691.70,2.89
21212,"PACK OF 72 RETROSPOT CAKE CASES",40440,19477.78,0.55
84879,"ASSORTED COLOUR BIRD ORNAMENT",38954,62408.90,1.68
22197,"POPCORN HOLDER",30931,23427.71,0.84
22492,"MINI PAINT SET VINTAGE ",30468,18670.84,0.65
22616,"PACK OF 12 LONDON TISSUES ",28446,8114.16,0.32
