Country,total_orders,total_customers,total_revenue,avg_order_value
"United Kingdom",16646,3920,8230575.54,20.84
Netherlands,94,9,320707.50,120.98
EIRE,260,3,296263.97,38.27
Germany,457,94,258686.91,25.34
France,389,87,232788.51,24.84
Australia,57,9,148571.87,110.79
Spain,90,30,73506.93,24.99
Switzerland,51,21,61980.10,30.23
Sweden,36,8,45698.95,89.43
Japan,19,8,45121.44,116.89
Belgium,98,25,44206.45,20.24
Norway,36,10,39952.56,32.80
Portugal,57,19,39935.57,23.55
Finland,41,12,24327.90,34.12
Singapore,7,1,23332.36,83.93
