CustomerID,recency,frequency,monetary,customer_segment
14646,23,73,315274.58,Champion
18102,22,60,287491.91,Champion
17450,30,46,215199.83,Champion
16446,22,2,168472.50,Potential
14911,23,201,156692.47,Champion
12346,347,1,154367.20,"At Risk"
14156,31,55,134476.55,Loyal
12415,46,21,132007.51,Loyal
17511,24,31,101635.60,Champion
16029,60,63,96276.75,Loyal
15061,25,48,77203.05,Champion
13694,25,50,72068.64,Champion
16684,26,28,69766.96,Champion
13089,24,97,69717.87,Champion
15311,22,91,68957.50,Champion
15749,257,3,67532.70,"At Risk"
14096,26,17,65164.79,Champion
15769,29,26,61889.00,Champion
17949,23,45,60256.48,Champion
14298,30,44,58991.86,Champion
14088,32,13,58036.72,Loyal
13798,23,57,46100.29,Champion
17841,23,124,45252.52,Champion
12931,43,15,42232.96,Loyal
16013,25,47,41538.70,Champion
15098,204,3,39916.50,"At Risk"
16422,39,51,39267.43,Loyal
17404,26,15,38679.88,Champion
12748,22,209,38366.63,Champion
15838,33,19,34600.58,Loyal
13081,33,11,34231.80,Loyal
14680,47,16,34230.92,Loyal
13777,22,33,33271.58,Champion
13408,23,62,32357.10,Champion
17389,22,34,32298.02,Champion
13098,23,28,29531.24,Champion
17857,26,23,28219.74,Champion
16210,23,18,28096.94,Champion
16333,29,22,26626.80,Champion
12753,44,6,25019.98,Loyal
12471,24,30,24451.86,Champion
17381,30,29,24091.33,Champion
15039,31,47,24010.80,Loyal
12744,73,7,23332.36,Potential
17675,23,31,22362.76,Champion
15159,23,30,21339.13,Champion
14031,29,19,21281.32,Champion
13767,24,37,20330.60,Champion
12731,45,12,19967.81,Loyal
15856,26,27,19668.88,Champion
17428,22,28,19144.64,Champion
17677,23,30,18479.93,Champion
12681,36,22,18452.53,Loyal
16839,30,34,18280.38,Champion
14051,22,23,17922.45,Champion
12678,64,12,17849.74,Potential
12921,31,37,17756.59,Loyal
12901,30,28,17654.54,Champion
15513,55,19,17172.48,Loyal
12433,22,7,17162.99,Loyal
13881,25,20,17159.52,Champion
15189,23,41,16943.87,Champion
15498,24,27,16821.04,Champion
17340,51,11,16713.68,Loyal
14607,37,14,16569.50,Loyal
14733,38,12,16033.13,Loyal
12557,38,5,16028.08,Loyal
15640,26,15,15884.79,Champion
14258,31,9,15790.20,Loyal
12540,41,17,15428.43,Loyal
16705,22,20,15166.71,Champion
12621,23,20,15073.32,Champion
16133,25,33,14912.75,Champion
14606,23,93,14902.48,Champion
14866,32,12,14493.58,Loyal
13078,25,26,14273.68,Champion
12682,25,31,14198.62,Champion
17735,24,19,14158.66,Champion
16525,24,26,14136.94,Champion
13093,297,8,13900.94,"At Risk"
13113,22,24,13667.82,Champion
14062,31,12,13561.24,Loyal
12939,86,8,13515.00,Potential
12477,44,6,13219.74,Loyal
13319,27,26,12907.52,Champion
12536,65,3,12601.83,Potential
16000,24,3,12393.70,Potential
13458,29,14,12321.61,Champion
12971,25,86,12283.38,Champion
17581,22,25,12280.77,Champion
18092,24,11,12180.10,Champion
12709,37,15,12169.11,Loyal
15615,32,23,12124.53,Loyal
16779,24,22,12066.50,Champion
12451,32,5,11955.03,Loyal
15482,37,12,11778.60,Loyal
13488,39,13,11708.52,Loyal
17865,52,20,11606.15,Loyal
14769,24,8,11545.74,Loyal
14667,32,25,11545.11,Loyal
15125,47,15,11528.48,Loyal
14194,26,21,11349.52,Champion
12567,44,10,11343.66,Loyal
15502,37,12,11314.33,Loyal
13001,26,13,11188.66,Champion
14895,29,20,11138.71,Champion
12409,100,3,11072.67,"At Risk"
17017,24,20,11051.90,Champion
17706,26,17,10982.32,Champion
13199,25,38,10957.32,Champion
